,atomic_number,ion_number,level_number_lower,level_number_upper,line_id,wavelength,f_ul,f_lu,nu,B_lu,B_ul,A_ul
25,2,0,0,529,26,504.3509999999999,4.119824778148364e-06,1.2359474334445094e-05,5944123398188960.0,104657.02503545032,34885.67501181677,108032.69244054751
26,2,0,0,520,27,504.3549999999999,4.353902960439468e-06,1.3061708881318404e-05,5944076255811878.0,110604.25371334892,36868.08457111631,114169.02998585247
27,2,0,0,511,28,504.3579999999999,4.601280882009613e-06,1.3803842646028839e-05,5944040899519786.0,116889.20719300125,38963.06906433375,120654.39454389048
28,2,0,0,502,29,504.3619999999999,4.873923914855728e-06,1.4621771744567184e-05,5943993758451271.0,123816.31011603514,41272.10337201171,127801.58971485053
29,2,0,0,493,30,504.3659999999999,5.1627220630416095e-06,1.5488166189124828e-05,5943946618130485.0,131153.92787696005,43717.97595898669,135372.1627582831
30,2,0,0,484,31,504.3709999999999,5.481239077383108e-06,1.6443717232149325e-05,5943887693780967.0,139246.92293788763,46415.64097929587,143721.17421343763
31,2,0,0,475,32,504.3749999999999,5.8194071764016794e-06,1.745822152920504e-05,5943840555142503.0,147839.01188987863,49279.67062995954,152585.7119143127
32,2,0,0,466,33,504.37999999999994,6.19268151697233e-06,1.857804455091699e-05,5943781632895832.0,157323.41189606197,52441.137298687325,162369.8007706738
33,2,0,0,457,34,504.3849999999999,6.60509008601699e-06,1.981527025805097e-05,5943722711817362.0,167802.2043407793,55934.0681135931,173179.5661761687
34,2,0,0,448,35,504.39099999999996,7.044963466122159e-06,2.1134890398366476e-05,5943652008065171.0,178979.30933811923,59659.76977937308,184708.2590748889
35,2,0,0,439,36,504.39699999999993,7.514130707174761e-06,2.2542392121524282e-05,5943581305995079.0,190900.907961627,63633.635987209,197004.42571513093
36,2,0,0,430,37,504.4029999999999,8.051536114816467e-06,2.4154608344449403e-05,5943510605607024.0,204556.44151836878,68185.48050612293,211089.02336781425
37,2,0,0,421,38,504.4099999999999,8.627376383843643e-06,2.588212915153093e-05,5943428123946789.0,219189.21791783642,73063.0726392788,226179.68586946107
38,2,0,0,412,39,504.41699999999986,9.244400348839461e-06,2.7733201046518382e-05,5943345644575818.0,234868.73786795785,78289.5792893193,242349.17336546222
39,2,0,0,403,40,504.42499999999995,9.95127539639319e-06,2.985382618917957e-05,5943251385240620.0,252832.03590961886,84277.34530320628,260872.1798041658
40,2,0,0,394,41,504.43299999999994,1.0712201795467716e-05,3.213660538640315e-05,5943157128895215.0,272169.2079857043,90723.06932856809,280810.91957093833
41,2,0,0,385,42,504.44199999999995,1.155789501508439e-05,3.467368504525317e-05,5943051094080191.0,293661.3142052707,97887.10473509025,302969.21010008873
42,2,0,0,376,43,504.4519999999999,1.2499100074849446e-05,3.749730022454834e-05,5942933282056569.0,317581.6109407575,105860.53698025251,327628.20014413196
43,2,0,0,367,44,504.4629999999999,1.3516951181612782e-05,4.055085354483835e-05,5942803694225344.0,343451.0254543036,114483.67515143454,354292.8075649235
44,2,0,0,358,45,504.47399999999993,1.4685162116885115e-05,4.4055486350655344e-05,5942674112045417.0,373142.1308341725,124380.7102780575,384895.9986230433
45,2,0,0,349,46,504.4869999999999,1.5991114954556304e-05,4.7973344863668916e-05,5942520976754604.0,406336.16613147093,135445.3887104903,419103.2353353182
46,2,0,0,340,47,504.49999999999994,1.7453347886191687e-05,5.236004365857506e-05,5942367849355797.0,443503.1101006519,147834.37003355063,457402.6024896661
47,2,0,0,331,48,504.51499999999993,1.904928788906222e-05,5.714786366718666e-05,5942191173701476.0,484071.5758901632,161357.19196338774,499197.9651970858
48,2,0,0,322,49,504.5309999999999,2.09352786271106e-05,6.28058358813318e-05,5942002731249418.0,532014.3601759567,177338.12005865225,548586.682886954
49,2,0,0,313,50,504.5489999999999,2.3007993461341423e-05,6.902398038402427e-05,5941790747776727.0,584707.7481927414,194902.58273091383,602856.9512698554
